,Total:,Hispanic or Latino,Not Hispanic or Latino:,Population of one race:,Population of two or more races:,FRACTotal,White Alone and in Combination,Black Alone and in Combination,Asian Alone and in Combination,Other Alone and in Combination,Native Alone and in Combination,NHPI Alone and in Combination,Calc Total (Not Latino)
Alabama,3917166.0,166856.0,3750310.0,3630366.0,119944.0,119944.0,2619099.833,990712.083,66418.483,19127.117,52032.567,2919.917,3750310.0
Alaska,554003.0,33441.0,520562.0,477883.0,42679.0,42679.0,359691.367,18927.2,38071.683,6398.95,88178.617,9294.183,520562.0
Arizona,5541976.0,1489617.0,4052359.0,3878116.0,174243.0,174243.0,3296302.85,256553.8,220758.45,43537.917,219927.2,15278.783,4052359.0
Arkansas,2312273.0,162002.0,2150271.0,2053883.0,96388.0,96388.0,1699124.85,339117.767,43458.733,14058.217,45529.35,8982.083,2150271.0
California,30827105.0,11083294.0,19743811.0,18667744.0,1076067.0,1076067.0,12129596.933,1812343.583,5118232.683,271417.017,259879.867,152340.917,19743811.0
Colorado,4509576.0,864196.0,3645380.0,3475182.0,170198.0,170198.0,3174304.633,184160.433,175871.4,43440.55,57753.9,9849.083,3645379.999
Connecticut,2869227.0,430695.0,2438532.0,2350906.0,87626.0,87626.0,1951380.517,292457.8,140035.017,36327.65,16697.817,1633.2,2438532.001
Delaware,783543.0,67906.0,715637.0,689358.0,26279.0,26279.0,500141.017,166688.267,35172.933,6180.783,6955.783,498.217,715637.0
District of Columbia,575161.0,60375.0,514786.0,493346.0,21440.0,21440.0,242817.8,228673.833,34290.8,5332.917,3091.3,579.35,514786.0
Florida,17339232.0,4332685.0,13006547.0,12472158.0,534389.0,534389.0,9707647.15,2419187.617,558633.583,188196.817,116694.767,16187.067,13006547.001
Georgia,8220274.0,742918.0,7477356.0,7230743.0,246613.0,246613.0,4443948.683,2509018.633,388189.7,62444.133,66451.85,7303.0,7477355.999
Hawaii,1155905.0,93107.0,1062798.0,863393.0,199405.0,199405.0,336957.633,22270.6,525441.567,7313.917,9097.667,161716.617,1062798.001
Idaho,1376400.0,151700.0,1224700.0,1174724.0,49976.0,49976.0,1145436.1,12091.417,25709.65,12748.717,25082.717,3631.4,1224700.001
Illinois,9999469.0,1620312.0,8379157.0,8124118.0,255039.0,255039.0,6237312.15,1391737.983,623210.117,64965.733,56768.85,5162.167,8379157.0
Indiana,5192579.0,350929.0,4841650.0,4681174.0,160476.0,160476.0,4139104.65,482110.767,135991.667,33045.683,46681.3,4715.933,4841650.0
Iowa,2450103.0,134104.0,2315999.0,2253225.0,62774.0,62774.0,2122796.317,93561.783,61662.95,14305.933,18895.6,4776.417,2315999.0
Kansas,2229316.0,241586.0,1987730.0,1898416.0,89314.0,89314.0,1725421.417,131837.45,71297.95,15414.25,40591.533,3167.4,1987730.0
Kentucky,3483900.0,133075.0,3350825.0,3244495.0,106330.0,106330.0,2954885.717,278802.817,60927.433,18568.567,33935.75,3704.717,3350825.001
Louisiana,3570548.0,223662.0,3346886.0,3248981.0,97905.0,97905.0,2123930.367,1082650.75,73984.267,23036.733,41030.317,2253.567,3346886.001
Maine,1110085.0,17656.0,1092429.0,1056691.0,35738.0,35738.0,1034760.567,18606.95,15415.817,8559.117,14464.233,622.317,1092429.001
Maryland,4815202.0,492262.0,4322940.0,4157786.0,165154.0,165154.0,2467040.633,1422652.683,351259.45,42646.567,35345.083,3995.583,4322939.999
