,date,manner_of_death,armed,age,gender,race,city,state,signs_of_mental_illness,threat_level,flee,body_camera,longitude,latitude,is_geocoding_exact,age_binned_11_18,age_binned_11_15,age_binned_7,age_binned_to_60,age_binned_7_diff,armed_3,armed_4_toy,armed_4,armed_5_toy,armed_7,count,state_name,PopEstimate2020,PopEstimate2021,city/state,Total Population,Hispanic or Latino,Population of one race:,Population of two or more races:,White Alone and in Combination,Black Alone and in Combination,Asian Alone and in Combination,Other Alone and in Combination,Native Alone and in Combination,NHPI Alone and in Combination,Asian/NHPI Alone and in Combination
0,2015-01-02,shot,gun,53,M,Asian,Shelton,WA,TRUE,attack,Not fleeing,FALSE,-123.122,47.247,TRUE,50-54,50-54,45-54,50-54,50-59,armed,armed,gun,gun,gun,1,Washington,7718785,7738692,"Shelton, WA",7705281.0,1059213.0,6134954.0,511114.0,5149199.717,350093.05,813065.583,87714.85,164617.233,81377.567,894443.15
1,2015-02-10,tasered and shot,unarmed,35,M,Hispanic,Pasco,WA,TRUE,other,Foot,FALSE,-119.101,46.228,TRUE,30-34,30-34,25-34,30-34,30-39,unarmed,unarmed,unarmed,unarmed,unarmed,1,Washington,7718785,7738692,"Pasco, WA",7705281.0,1059213.0,6134954.0,511114.0,5149199.717,350093.05,813065.583,87714.85,164617.233,81377.567,894443.15
2,2015-03-19,shot,unarmed,20,M,White,Sumas,WA,TRUE,attack,Not fleeing,FALSE,-122.273,49.0,TRUE,18-24,15-19,18-24,18-24,18-29,unarmed,unarmed,unarmed,unarmed,unarmed,1,Washington,7718785,7738692,"Sumas, WA",7705281.0,1059213.0,6134954.0,511114.0,5149199.717,350093.05,813065.583,87714.85,164617.233,81377.567,894443.15
3,2015-04-21,shot,unarmed,37,M,Native,Lakewood,WA,TRUE,other,Foot,FALSE,-122.485,47.16,TRUE,35-39,35-39,35-44,35-39,30-39,unarmed,unarmed,unarmed,unarmed,unarmed,1,Washington,7718785,7738692,"Lakewood, WA",7705281.0,1059213.0,6134954.0,511114.0,5149199.717,350093.05,813065.583,87714.85,164617.233,81377.567,894443.15
4,2015-05-04,shot,toy weapon,36,M,White,Kennewick,WA,TRUE,attack,Not fleeing,FALSE,-119.168,46.202,TRUE,35-39,35-39,35-44,35-39,30-39,unarmed,toy weapon,unarmed,toy weapon,toy weapon,1,Washington,7718785,7738692,"Kennewick, WA",7705281.0,1059213.0,6134954.0,511114.0,5149199.717,350093.05,813065.583,87714.85,164617.233,81377.567,894443.15
5,2015-05-10,shot,gun,47,M,White,Tacoma,WA,FALSE,attack,Not fleeing,FALSE,-122.489,47.229,TRUE,45-49,45-49,45-54,45-49,40-49,armed,armed,gun,gun,gun,1,Washington,7718785,7738692,"Tacoma, WA",7705281.0,1059213.0,6134954.0,511114.0,5149199.717,350093.05,813065.583,87714.85,164617.233,81377.567,894443.15
6,2015-05-26,shot,gun,62,M,White,Snohomish,WA,TRUE,attack,Not fleeing,FALSE,-122.014,47.838,TRUE,60-65,60-65,55-65,Over 60,60-70,armed,armed,gun,gun,gun,1,Washington,7718785,7738692,"Snohomish, WA",7705281.0,1059213.0,6134954.0,511114.0,5149199.717,350093.05,813065.583,87714.85,164617.233,81377.567,894443.15
7,2015-06-07,shot,gun,58,M,White,Woodland,WA,TRUE,attack,Not fleeing,FALSE,-122.75,45.903,TRUE,55-59,55-59,55-65,55-60,50-59,armed,armed,gun,gun,gun,1,Washington,7718785,7738692,"Woodland, WA",7705281.0,1059213.0,6134954.0,511114.0,5149199.717,350093.05,813065.583,87714.85,164617.233,81377.567,894443.15
8,2015-07-17,shot,knife,27,M,White,Seattle,WA,FALSE,other,Foot,FALSE,-122.304,47.676,TRUE,25-29,25-29,25-34,25-29,18-29,armed,armed,other weapon,other weapon,knife/cutting instrument,1,Washington,7718785,7738692,"Seattle, WA",7705281.0,1059213.0,6134954.0,511114.0,5149199.717,350093.05,813065.583,87714.85,164617.233,81377.567,894443.15
9,2015-08-05,shot,gun,40,M,White,Tacoma,WA,FALSE,attack,Not fleeing,FALSE,-122.484,47.206,TRUE,35-39,35-39,35-44,35-39,30-39,armed,armed,gun,gun,gun,1,Washington,7718785,7738692,"Tacoma, WA",7705281.0,1059213.0,6134954.0,511114.0,5149199.717,350093.05,813065.583,87714.85,164617.233,81377.567,894443.15
