,date,manner_of_death,armed,age,gender,race,city,state,signs_of_mental_illness,threat_level,flee,body_camera,longitude,latitude,age_binned_11_18,age_binned_11_15,age_binned_7,age_binned_to_60,age_binned_7_diff,armed_3,armed_4_toy,armed_4,armed_5_toy,armed_7,state_name,PopEstimate2020,PopEstimate2021,city/state
0,2015-01-02,shot,gun,53,M,Asian,Shelton,WA,TRUE,attack,Not fleeing,FALSE,-123.122,47.247,50-54,50-54,45-54,50-54,50-59,armed,armed,gun,gun,gun,Washington,7718785,7738692,"Shelton, WA"
1,2015-02-10,tasered and shot,unarmed,35,M,Hispanic,Pasco,WA,TRUE,other,Foot,FALSE,-119.101,46.228,30-34,30-34,25-34,30-34,30-39,unarmed,unarmed,unarmed,unarmed,unarmed,Washington,7718785,7738692,"Pasco, WA"
2,2015-03-19,shot,unarmed,20,M,White,Sumas,WA,TRUE,attack,Not fleeing,FALSE,-122.273,49.0,18-24,15-19,18-24,18-24,18-29,unarmed,unarmed,unarmed,unarmed,unarmed,Washington,7718785,7738692,"Sumas, WA"
3,2015-04-21,shot,unarmed,37,M,Native,Lakewood,WA,TRUE,other,Foot,FALSE,-122.485,47.16,35-39,35-39,35-44,35-39,30-39,unarmed,unarmed,unarmed,unarmed,unarmed,Washington,7718785,7738692,"Lakewood, WA"
4,2015-05-04,shot,toy weapon,36,M,White,Kennewick,WA,TRUE,attack,Not fleeing,FALSE,-119.168,46.202,35-39,35-39,35-44,35-39,30-39,unarmed,toy weapon,unarmed,toy weapon,toy weapon,Washington,7718785,7738692,"Kennewick, WA"
5,2015-05-10,shot,gun,47,M,White,Tacoma,WA,FALSE,attack,Not fleeing,FALSE,-122.489,47.229,45-49,45-49,45-54,45-49,40-49,armed,armed,gun,gun,gun,Washington,7718785,7738692,"Tacoma, WA"
6,2015-05-26,shot,gun,62,M,White,Snohomish,WA,TRUE,attack,Not fleeing,FALSE,-122.014,47.838,60-65,60-65,55-65,Over 60,60-70,armed,armed,gun,gun,gun,Washington,7718785,7738692,"Snohomish, WA"
7,2015-06-07,shot,gun,58,M,White,Woodland,WA,TRUE,attack,Not fleeing,FALSE,-122.75,45.903,55-59,55-59,55-65,55-60,50-59,armed,armed,gun,gun,gun,Washington,7718785,7738692,"Woodland, WA"
8,2015-07-17,shot,knife,27,M,White,Seattle,WA,FALSE,other,Foot,FALSE,-122.304,47.676,25-29,25-29,25-34,25-29,18-29,armed,armed,other weapon,other weapon,knife/cutting instrument,Washington,7718785,7738692,"Seattle, WA"
9,2015-08-05,shot,gun,40,M,White,Tacoma,WA,FALSE,attack,Not fleeing,FALSE,-122.484,47.206,35-39,35-39,35-44,35-39,30-39,armed,armed,gun,gun,gun,Washington,7718785,7738692,"Tacoma, WA"
10,2015-08-08,shot,gun,46,M,White,Spokane,WA,FALSE,attack,Not fleeing,FALSE,-117.4,47.706,45-49,45-49,45-54,45-49,40-49,armed,armed,gun,gun,gun,Washington,7718785,7738692,"Spokane, WA"
11,2015-08-19,shot,gun,29,M,White,Hunters,WA,TRUE,attack,Foot,FALSE,-118.202,48.117,25-29,25-29,25-34,25-29,18-29,armed,armed,gun,gun,gun,Washington,7718785,7738692,"Hunters, WA"
12,2015-08-21,shot,gun,57,M,White,Grapeview,WA,TRUE,attack,Not fleeing,FALSE,-122.924,47.286,55-59,55-59,55-65,55-60,50-59,armed,armed,gun,gun,gun,Washington,7718785,7738692,"Grapeview, WA"
13,2015-10-15,shot,gun,35,M,White,Kirkland,WA,FALSE,attack,Foot,FALSE,-122.187,47.707,30-34,30-34,25-34,30-34,30-39,armed,armed,gun,gun,gun,Washington,7718785,7738692,"Kirkland, WA"
14,2015-12-06,shot,gun,35,M,White,Seattle,WA,FALSE,attack,Car,FALSE,-122.332,47.606,30-34,30-34,25-34,30-34,30-39,armed,armed,gun,gun,gun,Washington,7718785,7738692,"Seattle, WA"
15,2015-12-13,shot,knife,30,M,Other,Thurston County,WA,FALSE,attack,Not fleeing,FALSE,-122.762,47.002,25-29,25-29,25-34,25-29,18-29,armed,armed,other weapon,other weapon,knife/cutting instrument,Washington,7718785,7738692,"Thurston County, WA"
16,2016-01-05,shot,Unknown,29,M,White,Olympia,WA,FALSE,attack,Foot,FALSE,-122.332,47.606,25-29,25-29,25-34,25-29,18-29,,,,,,Washington,7718785,7738692,"Olympia, WA"
17,2016-01-10,shot,chainsaw,37,M,White,Kelso,WA,TRUE,other,Not fleeing,FALSE,-122.669,46.16,35-39,35-39,35-44,35-39,30-39,armed,armed,other weapon,other weapon,knife/cutting instrument,Washington,7718785,7738692,"Kelso, WA"
18,2016-01-13,shot,gun,60,M,White,Cle Elum,WA,TRUE,attack,Not fleeing,FALSE,-120.954,47.197,55-59,55-59,55-65,55-60,50-59,armed,armed,gun,gun,gun,Washington,7718785,7738692,"Cle Elum, WA"
19,2016-01-28,shot,vehicle,32,F,Native,Tacoma,WA,FALSE,other,Not fleeing,FALSE,-122.454,47.234,30-34,30-34,25-34,30-34,30-39,armed,armed,other weapon,other weapon,other weapon,Washington,7718785,7738692,"Tacoma, WA"
20,2016-02-20,shot,gun,41,M,Black,Lakewood,WA,FALSE,attack,Car,FALSE,-122.559,47.12,40-44,40-44,35-44,40-44,40-49,armed,armed,gun,gun,gun,Washington,7718785,7738692,"Lakewood, WA"
21,2016-02-21,shot,undetermined,46,M,Black,Seattle,WA,FALSE,other,Not fleeing,FALSE,-122.306,47.691,45-49,45-49,45-54,45-49,40-49,undetermined,undetermined,undetermined,undetermined,undetermined,Washington,7718785,7738692,"Seattle, WA"
22,2016-03-13,shot,hammer,38,F,White,Vancouver,WA,TRUE,attack,Not fleeing,FALSE,-122.574,45.682,35-39,35-39,35-44,35-39,30-39,armed,armed,other weapon,other weapon,other weapon,Washington,7718785,7738692,"Vancouver, WA"
23,2016-04-28,tasered and shot,knife,45,M,White,Spokane,WA,TRUE,other,Not fleeing,TRUE,-117.412,47.656,40-44,40-44,35-44,40-44,40-49,armed,armed,other weapon,other weapon,knife/cutting instrument,Washington,7718785,7738692,"Spokane, WA"
24,2016-05-04,shot,gun,39,M,White,Burien,WA,FALSE,attack,Car,FALSE,-122.361,47.494,35-39,35-39,35-44,35-39,30-39,armed,armed,gun,gun,gun,Washington,7718785,7738692,"Burien, WA"
25,2016-05-07,shot,gun,29,M,White,Lake Stevens,WA,TRUE,other,Not fleeing,FALSE,-122.065,48.048,25-29,25-29,25-34,25-29,18-29,armed,armed,gun,gun,gun,Washington,7718785,7738692,"Lake Stevens, WA"
