,Total Population,Hispanic or Latino,Not Hispanic or Latino:,Population of one race:,Population of two or more races:,FRACTotal,White Alone and in Combination,Black Alone and in Combination,Asian Alone and in Combination,Other Alone and in Combination,Native Alone and in Combination,NHPI Alone and in Combination,Calc Total (Not Latino),Asian/NHPI Alone and in Combination
United States,331449281.0,62080044.0,269369237.0,255820254.0,13548983.0,13548983.0,197642570.867,42004368.717,21297276.083,3109051.95,4383072.0,932897.383,269369237.0,22230173.466000002
Alabama,5024279.0,264047.0,4760232.0,4575614.0,184618.0,184618.0,3255635.617,1317988.283,87442.383,27941.65,66956.183,4267.883,4760231.999,91710.266
Alaska,733391.0,49824.0,683567.0,611806.0,71761.0,71761.0,453342.117,25788.533,50708.633,8711.067,130259.217,14757.433,683567.0,65466.066000000006
Arizona,7151502.0,2192253.0,4959249.0,4692409.0,266840.0,266840.0,3936442.283,353704.583,284609.15,58087.433,304900.95,21504.6,4959248.999,306113.75
Arkansas,3011524.0,256847.0,2754677.0,2607520.0,147157.0,147157.0,2132648.05,468094.733,58404.15,19636.967,60352.167,15540.933,2754677.0,73945.083
California,39538223.0,15579652.0,23958571.0,22330849.0,1627722.0,1627722.0,14410773.533,2309607.45,6342213.817,365915.467,330757.95,199302.783,23958571.0,6541516.6
Colorado,5773714.0,1263390.0,4510324.0,4249526.0,260798.0,260798.0,3881388.867,250522.833,230567.05,59005.417,74891.933,13947.9,4510324.0,244514.94999999998
Connecticut,3605944.0,623293.0,2982651.0,2845082.0,137569.0,137569.0,2339500.417,384370.7,184688.25,50280.633,21620.133,2190.867,2982651.0,186879.117
Delaware,989948.0,104290.0,885658.0,842635.0,43023.0,43023.0,598178.117,222930.7,45992.033,8873.433,8991.133,692.583,885657.999,46684.616
District of Columbia,689545.0,77652.0,611893.0,582408.0,29485.0,29485.0,273090.317,289018.467,38528.1,6787.083,3781.217,687.817,611893.001,39215.917
Florida,21538187.0,5697240.0,15840947.0,15048804.0,792143.0,792143.0,11446733.65,3259181.067,709102.667,258412.417,145883.783,21633.417,15840947.001,730736.084
Georgia,10711908.0,1123457.0,9588451.0,9198318.0,390133.0,390133.0,5525949.317,3363038.567,513107.6,90253.333,85773.433,10328.75,9588451.0,523436.35
Hawaii,1455271.0,138923.0,1316348.0,1024458.0,291890.0,291890.0,404648.017,29087.067,631292.383,9183.817,11957.483,230179.233,1316348.0,861471.616
Idaho,1839106.0,239407.0,1599699.0,1521891.0,77808.0,77808.0,1487864.433,19280.783,34777.433,17766.333,34539.667,5470.35,1599698.999,40247.782999999996
Illinois,12812508.0,2337410.0,10475098.0,10060243.0,414855.0,414855.0,7660320.933,1844748.767,798736.15,90745.267,73605.05,6941.833,10475098.0,805677.983
Indiana,6785528.0,554191.0,6231337.0,5965993.0,265344.0,265344.0,5243688.283,684523.15,186498.3,49370.85,60901.483,6354.933,6231336.999,192853.23299999998
Iowa,3190369.0,215986.0,2974383.0,2865710.0,108673.0,108673.0,2688981.683,146864.567,84490.067,20421.6,26250.55,7374.533,2974383.0,91864.59999999999
