,Location,Total Population,Hispanic or Latino,Population of one race:,Population of two or more races:,White Alone and in Combination,Black Alone and in Combination,Asian Alone and in Combination,Other Alone and in Combination,Native Alone and in Combination,NHPI Alone and in Combination,state,city,Asian/NHPI Alone and in Combination
0,"Aberdeen, SD Micro Area",42287.0,1720.0,39254.0,1313.0,37110.917,683.75,1018.833,193.917,1508.917,50.667,SD,Aberdeen,1069.5
1,"Aberdeen, WA Micro Area",75636.0,7834.0,63097.0,4705.0,59238.833,1263.0,1486.333,835.833,4698.667,279.333,WA,Aberdeen,1765.6660000000002
2,"Abilene, TX Metro Area",176579.0,41566.0,127862.0,7151.0,113656.433,14207.1,3541.517,1135.533,2205.1,267.317,TX,Abilene,3808.834
3,"Ada, OK Micro Area",38065.0,2208.0,30889.0,4968.0,24937.25,1305.25,461.0,209.583,8920.0,23.917,OK,Ada,484.91700000000003
4,"Adrian, MI Micro Area",99423.0,8494.0,86688.0,4241.0,85199.4,2972.917,693.483,738.15,1304.233,20.817,MI,Adrian,714.3
5,"Aguadilla-Isabela, PR Metro Area",310160.0,306642.0,3306.0,212.0,2749.417,271.333,161.167,279.917,45.083,11.083,0,Aguadilla-Isabela,172.25
6,"Akron, OH Metro Area",702219.0,16711.0,652923.0,32585.0,551332.083,92737.033,28141.817,6119.15,6769.9,408.017,OH,Akron,28549.834
7,"Alamogordo, NM Micro Area",67839.0,26152.0,38926.0,2761.0,32167.033,2652.533,1306.2,710.083,4639.367,211.783,NM,Alamogordo,1517.983
8,"Albany, GA Metro Area",148922.0,3924.0,141171.0,3827.0,62582.217,78810.917,1897.417,680.033,939.25,88.167,GA,Albany,1985.5839999999998
9,"Albany-Lebanon, OR Metro Area",128610.0,12571.0,108396.0,7643.0,107792.967,1033.967,1995.467,1517.067,3218.733,480.8,OR,Albany-Lebanon,2476.2670000000003
10,"Albany-Schenectady-Troy, NY Metro Area",899262.0,53324.0,799691.0,46247.0,690911.6,80075.767,50514.683,14875.967,8764.183,795.8,NY,Albany-Schenectady-Troy,51310.483
11,"Albemarle, NC Micro Area",62504.0,3086.0,57135.0,2283.0,49716.75,7409.25,1237.5,272.917,765.75,15.833,NC,Albemarle,1253.333
12,"Albert Lea, MN Micro Area",30895.0,3183.0,26826.0,886.0,25504.417,548.917,1203.333,231.25,214.083,10.0,MN,Albert Lea,1213.333
13,"Albertville, AL Micro Area",97612.0,15658.0,78283.0,3671.0,76434.283,2666.617,717.533,463.7,1518.7,153.167,AL,Albertville,870.7
14,"Albuquerque, NM Metro Area",916528.0,439138.0,448287.0,29103.0,362129.067,24927.383,25598.367,7822.067,55566.367,1346.75,NM,Albuquerque,26945.117
