,Unnamed: 0,date,manner_of_death,armed,age,gender,race,city,state,signs_of_mental_illness,threat_level,flee,body_camera,longitude,latitude,is_geocoding_exact,age_binned_11_18,age_binned_11_15,age_binned_7,age_binned_to_60,age_binned_7_diff,armed_3,armed_4_toy,armed_4,armed_5_toy,armed_7,count,month,year,quarter,state_name,PopEstimate2015,PopEstimate2016,PopEstimate2017,PopEstimate2018,PopEstimate2019,PopEstimate2020,PopEstimate2021,city/state,Location,Total Population,Hispanic or Latino,Population of one race:,Population of two or more races:,White Alone and in Combination,Black Alone and in Combination,Asian Alone and in Combination,Other Alone and in Combination,Native Alone and in Combination,NHPI Alone and in Combination,Asian/NHPI Alone and in Combination
0,0,2015-01-02,shot,gun,53,M,Asian,Shelton,WA,True,attack,Not fleeing,False,-123.122,47.247,True,50-54,50-54,45-54,50-54,50-59,armed,armed,gun,gun,gun,1,1,2015,1,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692,"Shelton, WA","Shelton, WA Micro Area",65726.0,7595.0,53634.0,4497.0,51674.767,953.433,1217.783,846.35,3037.733,400.933,1618.716
1,144,2020-03-24,shot,vehicle,32,F,White,Shelton,WA,False,attack,Car,False,-122.958,47.333,True,30-34,30-34,25-34,30-34,30-39,armed,armed,other weapon,other weapon,other weapon,1,3,2020,1,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692,"Shelton, WA","Shelton, WA Micro Area",65726.0,7595.0,53634.0,4497.0,51674.767,953.433,1217.783,846.35,3037.733,400.933,1618.716
2,26,2016-06-10,shot,gun,50,M,Hispanic,Yakima,WA,False,attack,Not fleeing,True,-120.599,46.567,True,45-49,45-49,45-54,45-49,40-49,armed,armed,gun,gun,gun,1,6,2016,2,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692,"Yakima, WA","Yakima, WA Metro Area",256728.0,130049.0,118704.0,7975.0,107291.533,2330.017,3506.1,1879.317,11285.5,386.533,3892.633
3,72,2017-11-27,shot,gun,26,M,None,Yakima,WA,False,attack,Car,False,-120.742,46.702,True,25-29,25-29,25-34,25-29,18-29,armed,armed,gun,gun,gun,1,11,2017,4,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692,"Yakima, WA","Yakima, WA Metro Area",256728.0,130049.0,118704.0,7975.0,107291.533,2330.017,3506.1,1879.317,11285.5,386.533,3892.633
4,77,2017-12-25,shot,gun,28,M,None,Yakima,WA,False,attack,Not fleeing,False,-120.51,46.574,True,25-29,25-29,25-34,25-29,18-29,armed,armed,gun,gun,gun,1,12,2017,4,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692,"Yakima, WA","Yakima, WA Metro Area",256728.0,130049.0,118704.0,7975.0,107291.533,2330.017,3506.1,1879.317,11285.5,386.533,3892.633
5,78,2017-12-26,shot,undetermined,31,M,None,Yakima,WA,True,undetermined,Not fleeing,False,-120.507,46.603,True,30-34,30-34,25-34,30-34,30-39,undetermined,undetermined,undetermined,undetermined,undetermined,1,12,2017,4,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692,"Yakima, WA","Yakima, WA Metro Area",256728.0,130049.0,118704.0,7975.0,107291.533,2330.017,3506.1,1879.317,11285.5,386.533,3892.633
6,47,2017-03-12,shot,knife,28,M,Hispanic,Bellingham,WA,False,attack,Foot,True,-122.475,48.751,True,25-29,25-29,25-34,25-29,18-29,armed,armed,other weapon,other weapon,knife/cutting instrument,1,3,2017,1,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692,"Bellingham, WA","Bellingham, WA Metro Area",226847.0,22825.0,190027.0,13995.0,176894.167,3330.6,12101.417,2859.133,7747.083,1089.6,13191.017
7,61,2017-07-27,shot,knife,31,M,White,Wenatchee,WA,False,other,Not fleeing,False,-120.325,47.436,True,30-34,30-34,25-34,30-34,30-39,armed,armed,other weapon,other weapon,knife/cutting instrument,1,7,2017,3,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692,"Wenatchee, WA","Wenatchee, WA Metro Area",122012.0,36741.0,80595.0,4676.0,79783.25,598.083,1669.167,1200.417,1731.667,288.417,1957.5839999999998
8,201,2022-05-07,shot,gun,36,M,None,Wenatchee,WA,False,attack,unknown,False,-120.314,47.424,True,35-39,35-39,35-44,35-39,30-39,armed,armed,gun,gun,gun,1,5,2022,2,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692,"Wenatchee, WA","Wenatchee, WA Metro Area",122012.0,36741.0,80595.0,4676.0,79783.25,598.083,1669.167,1200.417,1731.667,288.417,1957.5839999999998
9,203,2022-06-04,shot,undetermined,32,M,None,Wenatchee,WA,False,other,Foot,False,-120.346,47.421,True,30-34,30-34,25-34,30-34,30-39,undetermined,undetermined,undetermined,undetermined,undetermined,1,6,2022,2,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692,"Wenatchee, WA","Wenatchee, WA Metro Area",122012.0,36741.0,80595.0,4676.0,79783.25,598.083,1669.167,1200.417,1731.667,288.417,1957.5839999999998
10,65,2017-09-03,shot,gun,47,M,White,Longview,WA,False,other,Not fleeing,False,-122.965,46.151,True,45-49,45-49,45-54,45-49,40-49,armed,armed,gun,gun,gun,1,9,2017,3,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692,"Longview, WA","Longview, WA Metro Area",110730.0,10802.0,93071.0,6857.0,91348.95,1176.783,2226.617,1238.583,3124.95,812.117,3038.7340000000004
11,98,2018-10-17,shot,gun,29,M,White,Longview,WA,False,attack,Foot,False,-122.931,46.117,True,25-29,25-29,25-34,25-29,18-29,armed,armed,gun,gun,gun,1,10,2018,4,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692,"Longview, WA","Longview, WA Metro Area",110730.0,10802.0,93071.0,6857.0,91348.95,1176.783,2226.617,1238.583,3124.95,812.117,3038.7340000000004
12,127,2019-09-08,shot,gun,51,M,None,Longview,WA,True,attack,Not fleeing,False,-122.95,46.123,True,50-54,50-54,45-54,50-54,50-59,armed,armed,gun,gun,gun,1,9,2019,3,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692,"Longview, WA","Longview, WA Metro Area",110730.0,10802.0,93071.0,6857.0,91348.95,1176.783,2226.617,1238.583,3124.95,812.117,3038.7340000000004
13,162,2020-10-02,shot,gun,33,M,Hispanic,Longview,WA,False,other,Foot,False,-122.938,46.138,True,30-34,30-34,25-34,30-34,30-39,armed,armed,gun,gun,gun,1,10,2020,4,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692,"Longview, WA","Longview, WA Metro Area",110730.0,10802.0,93071.0,6857.0,91348.95,1176.783,2226.617,1238.583,3124.95,812.117,3038.7340000000004
14,67,2017-09-17,shot,gun,37,M,White,Oak Harbor,WA,True,attack,Not fleeing,False,-122.643,48.293,True,35-39,35-39,35-44,35-39,30-39,armed,armed,gun,gun,gun,1,9,2017,3,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692,"Oak Harbor, WA","Oak Harbor, WA Micro Area",86857.0,7118.0,73556.0,6183.0,68701.1,2843.1,4906.683,1156.333,1492.933,638.85,5545.533
15,96,2018-09-23,shot,knife,36,M,None,Oak Harbor,WA,False,other,unknown,False,,,True,35-39,35-39,35-44,35-39,30-39,armed,armed,other weapon,other weapon,knife/cutting instrument,1,9,2018,3,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692,"Oak Harbor, WA","Oak Harbor, WA Micro Area",86857.0,7118.0,73556.0,6183.0,68701.1,2843.1,4906.683,1156.333,1492.933,638.85,5545.533
16,94,2018-09-16,shot,gun,40,M,None,Walla Walla,WA,True,other,Not fleeing,False,-118.369,46.049,True,35-39,35-39,35-44,35-39,30-39,armed,armed,gun,gun,gun,1,9,2018,3,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692,"Walla Walla, WA","Walla Walla, WA Metro Area",62584.0,14206.0,45311.0,3067.0,43954.667,1198.25,1308.917,643.417,999.417,273.333,1582.25
17,121,2019-06-18,shot,knife,18,M,Hispanic,Centralia,WA,False,other,Not fleeing,False,-122.941,46.73,True,Under 18,15-19,Under 18,Under 18,Under 18,armed,armed,other weapon,other weapon,knife/cutting instrument,1,6,2019,2,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692,"Centralia, WA","Centralia, WA Micro Area",82149.0,8830.0,68360.0,4959.0,67873.933,811.35,1169.183,948.25,2220.6,295.683,1464.866
18,129,2019-09-09,shot,gun,41,M,White,Aberdeen,WA,False,attack,Foot,False,-123.824,46.97,True,40-44,40-44,35-44,40-44,40-49,armed,armed,gun,gun,gun,1,9,2019,3,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692,"Aberdeen, WA","Aberdeen, WA Micro Area",75636.0,7834.0,63097.0,4705.0,59238.833,1263.0,1486.333,835.833,4698.667,279.333,1765.6660000000002
19,142,2020-02-28,shot,gun,22,M,Hispanic,Moses Lake,WA,False,attack,Other,False,-119.317,47.144,True,18-24,20-24,18-24,18-24,18-29,armed,armed,gun,gun,gun,1,2,2020,1,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692,"Moses Lake, WA","Moses Lake, WA Micro Area",99123.0,42401.0,53377.0,3345.0,51852.85,901.1,1468.017,763.583,1563.1,173.35,1641.367
20,218,2015-03-17,shot,gun,49,M,White,Medford,OR,True,attack,Not fleeing,False,-122.899,42.33,True,45-49,45-49,45-54,45-49,40-49,armed,armed,gun,gun,gun,1,3,2015,1,Oregon,4015792,4089976,4143625,4181886,4217737,4241544,4246155,"Medford, OR","Medford, OR Metro Area",223259.0,30399.0,179178.0,13682.0,176776.217,2424.6,4511.717,3210.867,4783.633,1152.967,5664.683999999999
21,223,2015-05-31,shot,gun,40,M,None,Medford,OR,True,attack,Not fleeing,False,-122.832,42.311,True,35-39,35-39,35-44,35-39,30-39,armed,armed,gun,gun,gun,1,5,2015,2,Oregon,4015792,4089976,4143625,4181886,4217737,4241544,4246155,"Medford, OR","Medford, OR Metro Area",223259.0,30399.0,179178.0,13682.0,176776.217,2424.6,4511.717,3210.867,4783.633,1152.967,5664.683999999999
22,232,2016-01-18,shot,knife,27,M,White,Medford,OR,False,other,Foot,False,-122.859,42.361,True,25-29,25-29,25-34,25-29,18-29,armed,armed,other weapon,other weapon,knife/cutting instrument,1,1,2016,1,Oregon,4015792,4089976,4143625,4181886,4217737,4241544,4246155,"Medford, OR","Medford, OR Metro Area",223259.0,30399.0,179178.0,13682.0,176776.217,2424.6,4511.717,3210.867,4783.633,1152.967,5664.683999999999
23,284,2019-07-18,shot,gun,73,M,None,Medford,OR,True,attack,Not fleeing,False,-122.869,42.328,True,Over 65,Over 65,Over 65,Over 60,Over 70,armed,armed,gun,gun,gun,1,7,2019,3,Oregon,4015792,4089976,4143625,4181886,4217737,4241544,4246155,"Medford, OR","Medford, OR Metro Area",223259.0,30399.0,179178.0,13682.0,176776.217,2424.6,4511.717,3210.867,4783.633,1152.967,5664.683999999999
24,319,2021-07-07,shot,knife,34,M,White,Medford,OR,False,other,Not fleeing,True,-122.855,42.372,True,30-34,30-34,25-34,30-34,30-39,armed,armed,other weapon,other weapon,knife/cutting instrument,1,7,2021,3,Oregon,4015792,4089976,4143625,4181886,4217737,4241544,4246155,"Medford, OR","Medford, OR Metro Area",223259.0,30399.0,179178.0,13682.0,176776.217,2424.6,4511.717,3210.867,4783.633,1152.967,5664.683999999999
