,Total:,Hispanic or Latino,Not Hispanic or Latino:,Population of one race:,Population of two or more races:,FRACTotal,White Alone and in Combination,Black Alone and in Combination,Asian Alone and in Combination,Other Alone and in Combination,Native Alone and in Combination,NHPI Alone and in Combination,Calc Total (Not Latino)
"Aberdeen, SD Micro Area",100.0,4.067443895286968,95.93255610471303,92.82758294511315,3.104973159599877,3.104973159599877,87.7596353489252,1.6169271880246885,2.409329108236574,0.4585735568850947,3.568276302409724,0.11981696502471209,95.93255846950599
"Aberdeen, WA Micro Area",100.0,10.357501718758263,89.64249828124173,83.42191548997832,6.2205827912634195,6.2205827912634195,78.32094901898566,1.6698397588449945,1.9651131736210272,1.1050729811201014,6.212209794277858,0.3693122322703475,89.64249695912
"Abilene, TX Metro Area",100.0,23.53960550235305,76.46039449764694,72.41064905792875,4.049745439718199,4.049745439718199,64.36576999529956,8.045747229285476,2.0056275094999974,0.6430736384281256,1.2487894936543982,0.1513866314793945,76.46039449764694
"Ada, OK Micro Area",100.0,5.80060422960725,94.19939577039274,81.14803625377644,13.051359516616316,13.051359516616316,65.51228162353868,3.429003021148036,1.2110862997504268,0.5505924077236306,23.43360042033364,0.0628319978983318,94.19939577039274
"Adrian, MI Micro Area",100.0,8.543294811059814,91.45670518894018,87.19109260432697,4.265612584613218,4.265612584613218,85.69385353489635,2.9901702825301992,0.6975076189614073,0.7424338432757008,1.311802098106072,0.020937811170453517,91.45670518894018
"Aguadilla-Isabela, PR Metro Area",100.0,98.86574671137477,1.1342532886252257,1.0659014702089245,0.06835181841630127,0.06835181841630127,0.8864511864843951,0.08748162238844469,0.05196253546556616,0.09024922620582924,0.014535401083311838,0.0035733169976786177,1.1342532886252257
"Akron, OH Metro Area",100.0,2.3797419323601328,97.62025806763987,92.97996778782688,4.640290279812993,4.640290279812993,78.51284043866656,13.206283652250935,4.007555620112814,0.8714019415595419,0.9640724617249035,0.058103953325102285,97.62025806763987
"Alamogordo, NM Micro Area",100.0,38.55009655213078,61.449903447869225,57.379973171774346,4.069930276094872,4.069930276094872,47.416726366839136,3.910041421601144,1.9254411179410076,1.0467179645926383,6.838790371320331,0.3121847314966317,61.44990197379089
"Albany, GA Metro Area",100.0,2.6349364096641197,97.36506359033588,94.79526194920831,2.56980164112757,2.56980164112757,42.02348679174332,52.92093646338352,1.2741012073434415,0.45663703146613666,0.6306992922469481,0.05920347564496851,97.36506426182834
"Albany-Lebanon, OR Metro Area",100.0,9.774512090817199,90.2254879091828,84.28271518544437,5.942772723738434,5.942772723738434,83.81383018427805,0.8039553689448722,1.55156441956302,1.1795871238628413,2.502708187543737,0.37384340253479514,90.22548868672732
"Albany-Schenectady-Troy, NY Metro Area",100.0,5.929751284942542,94.07024871505746,88.92747608594604,5.142772629111427,5.142772629111427,76.83095694024655,8.904609224008132,5.617348781556432,1.654241700416564,0.974597280881434,0.08849478794833986,94.07024871505746
