,state_name,Total Population_state,Hispanic or Latino_state,Not Hispanic or Latino:,Population of one race:_state,Population of two or more races:_state,FRACTotal,White Alone and in Combination_state,Black Alone and in Combination_state,Asian Alone and in Combination_state,Other Alone and in Combination_state,Native Alone and in Combination_state,NHPI Alone and in Combination_state,Calc Total (Not Latino),Asian/NHPI Alone and in Combination_state,state,Location,Total Population_area,Hispanic or Latino_area,Population of one race:_area,Population of two or more races:_area,White Alone and in Combination_area,Black Alone and in Combination_area,Asian Alone and in Combination_area,Other Alone and in Combination_area,Native Alone and in Combination_area,NHPI Alone and in Combination_area,city,Asian/NHPI Alone and in Combination_area
0,Alabama,5024279.0,264047.0,4760232.0,4575614.0,184618.0,184618.0,3255635.617,1317988.283,87442.383,27941.65,66956.183,4267.883,4760231.999,91710.266,AL,"Albertville, AL Micro Area",97612.0,15658.0,78283.0,3671.0,76434.283,2666.617,717.533,463.7,1518.7,153.167,Albertville,870.7
1,Alabama,5024279.0,264047.0,4760232.0,4575614.0,184618.0,184618.0,3255635.617,1317988.283,87442.383,27941.65,66956.183,4267.883,4760231.999,91710.266,AL,"Alexander City, AL Micro Area",51698.0,1345.0,48902.0,1451.0,35716.333,13641.75,269.417,239.917,476.083,9.5,Alexander City,278.917
2,Alabama,5024279.0,264047.0,4760232.0,4575614.0,184618.0,184618.0,3255635.617,1317988.283,87442.383,27941.65,66956.183,4267.883,4760231.999,91710.266,AL,"Anniston-Oxford, AL Metro Area",116441.0,5010.0,106863.0,4568.0,81619.383,26178.217,1411.467,617.383,1442.883,161.667,Anniston-Oxford,1573.134
3,Alabama,5024279.0,264047.0,4760232.0,4575614.0,184618.0,184618.0,3255635.617,1317988.283,87442.383,27941.65,66956.183,4267.883,4760231.999,91710.266,AL,"Atmore, AL Micro Area",36757.0,751.0,34593.0,1413.0,22649.517,11197.517,147.767,124.817,1854.183,32.2,Atmore,179.96699999999998
4,Alabama,5024279.0,264047.0,4760232.0,4575614.0,184618.0,184618.0,3255635.617,1317988.283,87442.383,27941.65,66956.183,4267.883,4760231.999,91710.266,AL,"Auburn-Opelika, AL Metro Area",174241.0,9135.0,158526.0,6580.0,112785.8,40310.05,9212.05,960.633,1653.8,183.667,Auburn-Opelika,9395.716999999999
5,Alabama,5024279.0,264047.0,4760232.0,4575614.0,184618.0,184618.0,3255635.617,1317988.283,87442.383,27941.65,66956.183,4267.883,4760231.999,91710.266,AL,"Birmingham-Hoover, AL Metro Area",1115289.0,64820.0,1014880.0,35589.0,679165.083,332278.583,21617.467,6154.567,10533.5,719.8,Birmingham-Hoover,22337.267
6,Alabama,5024279.0,264047.0,4760232.0,4575614.0,184618.0,184618.0,3255635.617,1317988.283,87442.383,27941.65,66956.183,4267.883,4760231.999,91710.266,AL,"Columbus, GA-AL Metro Area",328883.0,24624.0,290279.0,13980.0,151121.3,138251.633,8367.883,2406.067,3032.15,1079.967,Columbus,9447.85
7,Alabama,5024279.0,264047.0,4760232.0,4575614.0,184618.0,184618.0,3255635.617,1317988.283,87442.383,27941.65,66956.183,4267.883,4760231.999,91710.266,AL,"Cullman, AL Micro Area",87866.0,4146.0,80236.0,3484.0,80013.083,1123.417,626.083,471.25,1389.833,96.333,Cullman,722.4159999999999
8,Alabama,5024279.0,264047.0,4760232.0,4575614.0,184618.0,184618.0,3255635.617,1317988.283,87442.383,27941.65,66956.183,4267.883,4760231.999,91710.266,AL,"Daphne-Fairhope-Foley, AL Metro Area",231767.0,12686.0,208713.0,10368.0,191439.667,19174.917,2672.417,1807.167,3773.917,212.917,Daphne-Fairhope-Foley,2885.334
9,Alabama,5024279.0,264047.0,4760232.0,4575614.0,184618.0,184618.0,3255635.617,1317988.283,87442.383,27941.65,66956.183,4267.883,4760231.999,91710.266,AL,"Decatur, AL Metro Area",156494.0,13272.0,135076.0,8146.0,116861.867,19542.45,1218.283,919.567,4557.533,122.3,Decatur,1340.5829999999999
10,Alabama,5024279.0,264047.0,4760232.0,4575614.0,184618.0,184618.0,3255635.617,1317988.283,87442.383,27941.65,66956.183,4267.883,4760231.999,91710.266,AL,"Dothan, AL Metro Area",151007.0,6111.0,138939.0,5957.0,104463.7,35793.867,1766.45,841.75,1907.117,123.117,Dothan,1889.567
11,Alabama,5024279.0,264047.0,4760232.0,4575614.0,184618.0,184618.0,3255635.617,1317988.283,87442.383,27941.65,66956.183,4267.883,4760231.999,91710.266,AL,"Enterprise, AL Micro Area",53465.0,4887.0,45951.0,2627.0,36941.9,9061.733,1128.483,366.917,975.65,103.317,Enterprise,1231.8
12,Alabama,5024279.0,264047.0,4760232.0,4575614.0,184618.0,184618.0,3255635.617,1317988.283,87442.383,27941.65,66956.183,4267.883,4760231.999,91710.266,AL,"Eufaula, AL-GA Micro Area",27458.0,1541.0,25301.0,616.0,12546.9,12929.733,131.9,110.167,193.233,5.067,Eufaula,136.967
13,Alabama,5024279.0,264047.0,4760232.0,4575614.0,184618.0,184618.0,3255635.617,1317988.283,87442.383,27941.65,66956.183,4267.883,4760231.999,91710.266,AL,"Florence-Muscle Shoals, AL Metro Area",150791.0,4810.0,140195.0,5786.0,122468.833,19339.0,1394.417,717.583,1980.5,80.667,Florence-Muscle Shoals,1475.0839999999998
