,race,year,number_of_deaths,2020_population,deaths_per_mil
0,A,2015,15,20.2215,0.7417847340701729
1,A,2016,15,20.2215,0.7417847340701729
2,A,2017,17,20.2215,0.8406893652795293
3,A,2018,21,20.2215,1.038498627698242
4,A,2019,21,20.2215,1.038498627698242
5,A,2020,15,20.2215,0.7417847340701729
6,A,2021,4,20.2215,0.19780926241871277
7,A,2022,3,20.2215,0.14835694681403458
8,B,2015,261,45.084,5.789193505456481
9,B,2016,238,45.084,5.279034690799397
10,B,2017,223,45.084,4.946322420370863
11,B,2018,230,45.084,5.101588146570845
12,B,2019,254,45.084,5.633927779256498
13,B,2020,244,45.084,5.4121195989708095
14,B,2021,180,45.084,3.9925472451424007
15,B,2022,48,45.084,1.0646792653713069
16,H,2015,173,62.6535,2.7612184474929573
17,H,2016,160,62.6535,2.553728043924122
18,H,2017,180,62.6535,2.8729440494146377
19,H,2018,168,62.6535,2.6814144461203284
20,H,2019,168,62.6535,2.6814144461203284
21,H,2020,171,62.6535,2.729296846943906
22,H,2021,78,62.6535,1.2449424214130096
23,H,2022,10,62.6535,0.15960800274525763
24,N,2015,9,4.3095,2.088409328228333
25,N,2016,16,4.3095,3.712727694628147
26,N,2017,20,4.3095,4.640909618285184
27,N,2018,17,4.3095,3.9447731755424065
28,N,2019,14,4.3095,3.248636732799629
29,N,2020,7,4.3095,1.6243183663998144
30,N,2021,7,4.3095,1.6243183663998144
31,N,2022,3,4.3095,0.6961364427427776
32,O,2015,15,2.652,5.656108597285067
33,O,2016,12,2.652,4.524886877828054
34,O,2017,6,2.652,2.262443438914027
35,O,2018,4,2.652,1.5082956259426847
36,O,2019,10,2.652,3.770739064856712
37,O,2020,3,2.652,1.1312217194570136
38,W,2015,506,196.5795,2.574022214930855
39,W,2016,469,196.5795,2.385803199214567
40,W,2017,461,196.5795,2.345107195816451
41,W,2018,461,196.5795,2.345107195816451
42,W,2019,420,196.5795,2.136540178401105
43,W,2020,458,196.5795,2.3298461945421574
44,W,2021,306,196.5795,1.556622129977948
45,W,2022,88,196.5795,0.4476560373792791
