city,count,body_camera
Los Angeles,120,25
Phoenix,101,15
Houston,83,20
San Antonio,66,11
Las Vegas,62,28
Albuquerque,52,10
Chicago,49,12
Denver,46,2
Columbus,46,7
Tucson,42,6
Jacksonville,42,9
Kansas City,42,3
New York,40,9
Oklahoma City,39,15
Austin,38,9
Miami,37,2
Bakersfield,34,10
St. Louis,34,0
Tulsa,33,4
Atlanta,31,3
Louisville,30,12
Philadelphia,29,4
Mesa,27,3
Baltimore,27,13
Springfield,26,4
Washington,26,10
Fresno,26,13
Portland,25,1
San Diego,25,15
Orlando,24,4
Colorado Springs,24,2
San Jose,24,6
Indianapolis,23,6
Detroit,22,5
Aurora,22,5
Long Beach,22,4
Charlotte,21,5
Memphis,21,2
Pueblo,21,3
Lakewood,20,0
Sacramento,20,9
San Bernardino,20,1
San Francisco,20,7
Fort Worth,20,7
Milwaukee,19,9
El Paso,19,0
Glendale,18,2
Cleveland,18,4
Arlington,18,1
Seattle,18,11
Dallas,18,2
Greenville,17,2
Lancaster,17,2
Salt Lake City,17,10
Stockton,17,2
Spokane,17,5
Jackson,16,0
Las Cruces,16,4
Honolulu,16,5
Wichita,16,3
Billings,15,3
Amarillo,15,0
Nashville,14,5
Oakland,14,3
Tampa,14,2
Westminster,14,0
Huntsville,13,3
Tacoma,13,1
Modesto,13,6
Baton Rouge,13,4
Anaheim,13,8
Redding,13,0
Omaha,13,4
Birmingham,13,1
Lakeland,12,0
Clinton,12,2
Savannah,12,2
Richmond,12,4
Fayetteville,12,2
Vancouver,12,0
Reno,12,0
Wilmington,12,2
Corpus Christi,12,4
Santa Ana,12,0
Fairbanks,12,2
Anchorage,11,0
Evansville,11,5
Salem,11,0
Ontario,11,2
Henderson,11,7
Shreveport,11,0
Odessa,11,0
Boise,11,4
Minneapolis,11,6
Auburn,11,0
Tempe,11,3
Farmington,11,3
St. Paul,10,3
New Orleans,10,5
Newark,10,1
Beaumont,10,0
Knoxville,10,1
Columbia,10,2
Boston,10,2
Florence,10,0
Barstow,9,0
Pasadena,9,5
Kent,9,1
Akron,9,2
Riverside,9,0
Wasilla,9,0
Fremont,9,4
Chattanooga,9,1
Fontana,9,1
Longview,9,0
Charleston,9,0
Arvada,9,0
Little Rock,9,1
Hemet,9,0
Midland,8,0
Tallahassee,8,1
Chandler,8,1
Lincoln,8,2
Scottsdale,8,1
Virginia Beach,8,0
Canton,8,2
Durham,8,2
Gulfport,8,0
Kingman,8,2
