,race,year,number_of_deaths
0,Asian,2015,1
31,White,2015,27
14,Hispanic,2015,3
6,Black,2015,10
28,Other,2015,1
15,Hispanic,2016,1
21,Native,2016,5
32,White,2016,23
7,Black,2016,11
8,Black,2017,9
22,None,2017,2
1,Asian,2017,1
33,White,2017,27
16,Hispanic,2017,6
23,None,2018,2
17,Hispanic,2018,8
2,Asian,2018,1
29,Other,2018,1
34,White,2018,29
9,Black,2018,11
18,Hispanic,2019,9
3,Asian,2019,1
10,Black,2019,6
24,None,2019,1
35,White,2019,26
30,Other,2020,1
36,White,2020,25
19,Hispanic,2020,5
25,None,2020,4
11,Black,2020,2
4,Asian,2020,1
26,None,2021,23
20,Hispanic,2021,1
37,White,2021,27
12,Black,2021,5
13,Black,2022,4
5,Asian,2022,2
27,None,2022,19
38,White,2022,2
