,date,manner_of_death,armed,age,gender,race,city,state,signs_of_mental_illness,threat_level,flee,body_camera,is_geocoding_exact,age_binned,armed_3,armed_4,armed_7,count,month,year,quarter,state_name,PopEstimate2015,PopEstimate2016,PopEstimate2017,PopEstimate2018,PopEstimate2019,PopEstimate2020,PopEstimate2021,city/state
0,2015-01-02,shot,gun,53,M,Asian,Shelton,WA,True,attack,Not fleeing,False,True,45-59,armed,gun,gun,1,1,2015,1,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692,"Shelton, WA"
1,2015-02-10,tasered and shot,unarmed,35,M,Hispanic,Pasco,WA,True,other,Foot,False,True,30-44,unarmed,unarmed,unarmed,1,2,2015,1,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692,"Pasco, WA"
2,2015-03-19,shot,unarmed,20,M,White,Sumas,WA,True,attack,Not fleeing,False,True,18-29,unarmed,unarmed,unarmed,1,3,2015,1,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692,"Sumas, WA"
3,2015-04-21,shot,unarmed,37,M,Native,Lakewood,WA,True,other,Foot,False,True,30-44,unarmed,unarmed,unarmed,1,4,2015,2,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692,"Lakewood, WA"
4,2015-05-04,shot,toy weapon,36,M,White,Kennewick,WA,True,attack,Not fleeing,False,True,30-44,unarmed,unarmed,toy weapon,1,5,2015,2,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692,"Kennewick, WA"
5,2015-05-10,shot,gun,47,M,White,Tacoma,WA,False,attack,Not fleeing,False,True,45-59,armed,gun,gun,1,5,2015,2,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692,"Tacoma, WA"
6,2015-05-26,shot,gun,62,M,White,Snohomish,WA,True,attack,Not fleeing,False,True,60-75,armed,gun,gun,1,5,2015,2,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692,"Snohomish, WA"
7,2015-06-07,shot,gun,58,M,White,Woodland,WA,True,attack,Not fleeing,False,True,45-59,armed,gun,gun,1,6,2015,2,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692,"Woodland, WA"
8,2015-07-17,shot,knife,27,M,White,Seattle,WA,False,other,Foot,False,True,18-29,armed,other weapon,knife/cutting instrument,1,7,2015,3,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692,"Seattle, WA"
9,2015-08-05,shot,gun,40,M,White,Tacoma,WA,False,attack,Not fleeing,False,True,30-44,armed,gun,gun,1,8,2015,3,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692,"Tacoma, WA"
10,2015-08-08,shot,gun,46,M,White,Spokane,WA,False,attack,Not fleeing,False,True,45-59,armed,gun,gun,1,8,2015,3,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692,"Spokane, WA"
11,2015-08-19,shot,gun,29,M,White,Hunters,WA,True,attack,Foot,False,True,18-29,armed,gun,gun,1,8,2015,3,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692,"Hunters, WA"
12,2015-08-21,shot,gun,57,M,White,Grapeview,WA,True,attack,Not fleeing,False,True,45-59,armed,gun,gun,1,8,2015,3,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692,"Grapeview, WA"
13,2015-10-15,shot,gun,35,M,White,Kirkland,WA,False,attack,Foot,False,True,30-44,armed,gun,gun,1,10,2015,4,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692,"Kirkland, WA"
14,2015-12-06,shot,gun,35,M,White,Seattle,WA,False,attack,Car,False,True,30-44,armed,gun,gun,1,12,2015,4,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692,"Seattle, WA"
15,2015-12-13,shot,knife,30,M,Other,Thurston County,WA,False,attack,Not fleeing,False,True,18-29,armed,other weapon,knife/cutting instrument,1,12,2015,4,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692,"Thurston County, WA"
16,2016-01-05,shot,undetermined,29,M,White,Olympia,WA,False,attack,Foot,False,True,18-29,undetermined,undetermined,undetermined,1,1,2016,1,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692,"Olympia, WA"
17,2016-01-10,shot,chain saw,37,M,White,Kelso,WA,True,other,Not fleeing,False,True,30-44,armed,other weapon,knife/cutting instrument,1,1,2016,1,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692,"Kelso, WA"
18,2016-01-13,shot,gun,60,M,White,Cle Elum,WA,True,attack,Not fleeing,False,True,45-59,armed,gun,gun,1,1,2016,1,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692,"Cle Elum, WA"
