,date,manner_of_death,age,gender,race,city,state,signs_of_mental_illness,threat_level,flee,body_camera,is_geocoding_exact,age_binned,armed_3,armed_4,armed_7,count,month,year,quarter,state_name,PopEstimate2015,PopEstimate2016,PopEstimate2017,PopEstimate2018,PopEstimate2019,PopEstimate2020,PopEstimate2021
0,2015-01-02,shot,53,M,Asian,Shelton,WA,True,attack,Not fleeing,False,True,45-59,armed,gun,gun,1,1,2015,1,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692
1,2015-02-10,tasered and shot,35,M,Hispanic,Pasco,WA,True,other,Foot,False,True,30-44,unarmed,unarmed,unarmed,1,2,2015,1,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692
2,2015-03-19,shot,20,M,White,Sumas,WA,True,attack,Not fleeing,False,True,18-29,unarmed,unarmed,unarmed,1,3,2015,1,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692
3,2015-04-21,shot,37,M,Native,Lakewood,WA,True,other,Foot,False,True,30-44,unarmed,unarmed,unarmed,1,4,2015,2,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692
4,2015-05-04,shot,36,M,White,Kennewick,WA,True,attack,Not fleeing,False,True,30-44,unarmed,unarmed,toy weapon,1,5,2015,2,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692
5,2015-05-10,shot,47,M,White,Tacoma,WA,False,attack,Not fleeing,False,True,45-59,armed,gun,gun,1,5,2015,2,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692
6,2015-05-26,shot,62,M,White,Snohomish,WA,True,attack,Not fleeing,False,True,60-75,armed,gun,gun,1,5,2015,2,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692
7,2015-06-07,shot,58,M,White,Woodland,WA,True,attack,Not fleeing,False,True,45-59,armed,gun,gun,1,6,2015,2,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692
8,2015-07-17,shot,27,M,White,Seattle,WA,False,other,Foot,False,True,18-29,armed,other weapon,knife/cutting instrument,1,7,2015,3,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692
9,2015-08-05,shot,40,M,White,Tacoma,WA,False,attack,Not fleeing,False,True,30-44,armed,gun,gun,1,8,2015,3,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692
