,race,year,number_of_deaths
0,Asian,2015,15
1,Asian,2016,15
2,Asian,2017,17
3,Asian,2018,21
4,Asian,2019,21
5,Asian,2020,15
6,Asian,2021,4
7,Asian,2022,3
8,Black,2015,261
9,Black,2016,238
10,Black,2017,223
11,Black,2018,230
12,Black,2019,254
13,Black,2020,244
14,Black,2021,180
15,Black,2022,48
16,Hispanic,2015,173
17,Hispanic,2016,160
18,Hispanic,2017,180
19,Hispanic,2018,168
20,Hispanic,2019,168
21,Hispanic,2020,171
22,Hispanic,2021,78
23,Hispanic,2022,10
24,Native,2015,9
25,Native,2016,16
26,Native,2017,20
27,Native,2018,17
28,Native,2019,14
29,Native,2020,7
30,Native,2021,7
31,Native,2022,3
32,None,2015,23
33,None,2016,53
34,None,2017,77
35,None,2018,88
36,None,2019,114
37,None,2020,119
38,None,2021,484
39,None,2022,441
40,Other,2015,15
41,Other,2016,12
42,Other,2017,6
43,Other,2018,4
44,Other,2019,10
45,Other,2020,3
46,White,2015,506
47,White,2016,469
48,White,2017,461
49,White,2018,461
50,White,2019,420
51,White,2020,458
52,White,2021,306
53,White,2022,88
