,Total Population,Hispanic or Latino,Not Hispanic or Latino:,Population of one race:,Population of two or more races:,FRACTotal,White Alone and in Combination,Black Alone and in Combination,Asian Alone and in Combination,Other Alone and in Combination,Native Alone and in Combination,NHPI Alone and in Combination,Calc Total (Not Latino),Asian/NHPI Alone and in Combination
United States,331449281.0,18.72987740769907,81.27012259230094,77.1823228061249,4.087799786176034,4.087799786176034,59.629808298482935,12.67294006198191,6.425500764021871,0.9380174066511251,1.3223959897502386,0.2814600714128567,81.27012259230094,6.706960835434729
Alabama,5024279.0,5.255420728028837,94.74457927197116,91.07006199297452,3.6745172789966483,3.6745172789966483,64.79806589164336,26.23238643793468,1.740396641985845,0.5561325316528003,1.332652565671612,0.0849451831795169,94.74457925206781,1.8253418251653621
Alaska,733391.0,6.7936475904394795,93.20635240956052,83.42153094324856,9.784821466311968,9.784821466311968,61.81451872193687,3.5163416240450185,6.914269877868695,1.1877793700768076,17.76122382194491,2.0122189936882235,93.20635240956052,8.926488871556918
Arizona,7151502.0,30.65444154248996,69.34555845751005,65.6143143076797,3.7312441498303435,3.7312441498303435,55.0435738254705,4.945878264454096,3.9797115347237546,0.8122410229347624,4.263453327706544,0.30070046823730173,69.34555844352697,4.280412002961056
Arkansas,3011524.0,8.52880468493693,91.47119531506307,86.5847325141689,4.886462800894165,4.886462800894165,70.81623955180167,15.543450193324047,1.9393552898798083,0.6520607838423337,2.004040711613124,0.5160487846020818,91.47119531506307,2.45540407448189
California,39538223.0,39.404026832465384,60.59597316753461,56.479141715600115,4.116831451934499,4.116831451934499,36.44770158992729,5.841454862551613,16.040715378129157,0.9254727178811248,0.8365523913403999,0.5040762277050236,60.59597316753461,16.54479160583418
Colorado,5773714.0,21.881755833420222,78.11824416657977,73.60125562159816,4.5169885449816185,4.5169885449816185,67.22516679904824,4.339023945418841,3.993392294803656,1.0219663980585114,1.2971188562509333,0.24157587299959782,78.11824416657977,4.234968167803254
Connecticut,3605944.0,17.28515473340684,82.71484526659316,78.89978324677254,3.815062019820607,3.815062019820607,64.87900025624359,10.659364094395254,5.121772551098963,1.394381970435481,0.5995692944760097,0.06075709994387046,82.71484526659316,5.182529651042834
Delaware,989948.0,10.534896782457261,89.46510321754275,85.11911736778094,4.345985849761806,4.345985849761806,60.4252058693992,22.51943536428176,4.6459039262668345,0.8963534448274052,0.908242958215987,0.06996155353614533,89.46510311652732,4.7158654798029795
District of Columbia,689545.0,11.261338998905075,88.73866100109493,84.46265290880218,4.276008092292743,4.276008092292743,39.60442277153775,41.914373536172405,5.587467097868885,0.9842842744128375,0.548364066159569,0.09974939996664467,88.7386611461181,5.6872164978355295
Florida,21538187.0,26.451808594660264,73.54819140533974,69.87033774012642,3.6778536652133256,3.6778536652133256,53.14622651386581,15.13210497708094,3.2923043476222027,1.1997872290736449,0.6773261974185664,0.10044214492148296,73.54819140998265,3.3927464925436857
Georgia,10711908.0,10.487926147237262,89.51207385276274,85.87002427578729,3.6420495769754555,3.6420495769754555,51.58697514018977,31.39532720968104,4.790067278397089,0.8425514203445361,0.8007297392770738,0.09642306487322333,89.51207385276274,4.886490343270312
Hawaii,1455271.0,9.546194488861524,90.45380551113847,70.39637290923821,20.057432601900267,20.057432601900267,27.805681347322935,1.9987388603222356,43.37971298816509,0.6310726318328339,0.8216670984304641,15.816932585064913,90.45380551113847,59.196645573230015
Idaho,1839106.0,13.017574843429362,86.98242515657064,82.75167391112855,4.230751245442079,4.230751245442079,80.90150502472396,1.048378016275299,1.8909966581589097,0.9660309411203052,1.8780683114513248,0.2974461504665854,86.98242510219639,2.188442808625495
Illinois,12812508.0,18.243188609131014,81.75681139086899,78.5189207296495,3.23789066121949,3.23789066121949,59.78783336564552,14.398030167083602,6.23403435143221,0.7082553002113248,0.5744780803258815,0.0541801261704578,81.75681139086899,6.288214477602668
