,count,count,count,count,count,count,count,count,body_camera,body_camera,body_camera,body_camera,body_camera,body_camera,body_camera,body_camera
year,2015,2016,2017,2018,2019,2020,2021,2022,2015,2016,2017,2018,2019,2020,2021,2022
city,,,,,,,,,,,,,,,,
300 block of State Line Road,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Abbeville,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0
Aberdeen,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Abilene,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
Abingdon,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Abington Township,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Acworth,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Ada,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0
Adams County,0,0,0,3,1,0,2,0,0,0,0,0,0,0,0,0
Addison,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adel,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Adelanto,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Adrian,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Affton,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Aguanga,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ahwatukee,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Aiea,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Aiken,1,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0
Aiken County,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Airway Heights,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
Aitkin,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Akron,2,1,2,1,1,0,1,1,0,0,1,0,0,0,0,1
Alamo,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Alamogordo,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0
Alamosa,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Albany,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
Albert Lea,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Albertville,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
Albion,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Albuquerque,5,6,8,9,5,6,6,7,3,2,1,0,0,0,4,0
Alderwood Manor,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Aldie,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alexander,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Alexandria,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Alford,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Algoma Township,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Algona,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Alhambra,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Allen,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0
Allenhurst,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Allentown,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Alliance,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Aloha,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alpine,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
Alta Sierra,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Altadena,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Alton,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Altoona,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Alvarado,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Alvin,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Alvo,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Amarillo,2,1,2,2,2,1,2,3,0,0,0,0,0,0,0,0
Amelia Island,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Amherst County,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Amite,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Amity,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Ammon,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Anadarko,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0
Anaheim,2,3,0,2,3,1,1,1,2,3,0,1,2,0,0,0
Anchor Point,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Anchorage,1,2,2,1,3,2,0,0,0,0,0,0,0,0,0,0
Anderson,0,0,1,0,1,1,3,0,0,0,0,0,0,0,0,0
